,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,01/27/11 12:00 AM,rainbow,0,5,0,0,3,0,0,0,0,0,5,,,,,
Data for presentation:,01/27/11 12:00 AM,webowonder,0,0,0,0,8,0,0,0,0,0,5,,,,,
Data for presentation:,01/27/11 12:00 AM,openwebapps,0,15,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,01/27/11 12:00 AM,deuxdrop,0,0,11,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,01/27/11 12:00 AM,getanaccount,0,0,1,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,01/27/11 12:00 AM,playdoh,0,35,0,0,6,0,0,0,0,0,11,,,,,
Data for presentation:,01/27/11 12:00 AM,kitsune,0,0,0,0,90,0,0,0,0,0,4,,,,,
Data for presentation:,01/27/11 12:00 AM,chromeless,0,70,3,0,7,0,0,0,0,0,8,,,,,
Data for presentation:,01/27/11 12:00 AM,addon-sdk,0,15,0,0,0,0,0,0,0,0,7,,,,,
Data for presentation:,01/27/11 12:00 AM,prospector,0,122,12,0,2,0,0,0,0,0,13,,,,,
Data for presentation:,01/27/11 12:00 AM,zamboni,0,9,0,0,149,0,0,0,0,0,14,,,,,
Data for presentation:,01/27/11 12:00 AM,input-tests,0,9,0,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,02/26/11 12:00 AM,f1,0,100,1,0,24,0,0,0,0,0,14,,,,,
Data for presentation:,02/26/11 12:00 AM,opensearch,0,2,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,02/26/11 12:00 AM,narcissus,1,0,1,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,02/26/11 12:00 AM,amo-validator,0,15,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,02/26/11 12:00 AM,devtools,0,0,0,0,4,0,0,0,0,0,1,,,,,
Data for presentation:,02/26/11 12:00 AM,FlightDeck,0,1,0,0,16,0,0,0,0,0,4,,,,,
Data for presentation:,02/26/11 12:00 AM,rainbow,0,9,7,0,1,0,0,0,0,0,4,,,,,
Data for presentation:,02/26/11 12:00 AM,playdoh,0,13,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,02/26/11 12:00 AM,bleach,0,3,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,02/26/11 12:00 AM,kitsune,0,0,0,0,90,0,0,0,0,0,6,,,,,
Data for presentation:,02/26/11 12:00 AM,chromeless,0,19,3,0,1,0,0,0,0,0,7,,,,,
Data for presentation:,02/26/11 12:00 AM,addon-sdk,0,34,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,02/26/11 12:00 AM,prospector,0,23,4,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,02/26/11 12:00 AM,zamboni,0,2,0,0,105,0,0,0,0,0,12,,,,,
Data for presentation:,02/26/11 12:00 AM,input-tests,0,3,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,03/28/11 12:00 AM,f1,0,3,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,03/28/11 12:00 AM,amo-validator,0,10,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,03/28/11 12:00 AM,process-releases,0,13,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,03/28/11 12:00 AM,FlightDeck,0,0,0,0,4,0,0,0,0,0,3,,,,,
Data for presentation:,03/28/11 12:00 AM,webifyme,0,0,0,0,2,0,0,0,0,0,2,,,,,
Data for presentation:,03/28/11 12:00 AM,playdoh,0,18,2,0,3,0,0,0,0,0,9,,,,,
Data for presentation:,03/28/11 12:00 AM,bleach,0,6,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,03/28/11 12:00 AM,kitsune,0,0,0,0,47,0,0,0,0,0,4,,,,,
Data for presentation:,03/28/11 12:00 AM,chromeless,0,20,2,0,4,0,0,0,0,0,5,,,,,
Data for presentation:,03/28/11 12:00 AM,addon-sdk,0,21,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,03/28/11 12:00 AM,prospector,0,47,1,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,03/28/11 12:00 AM,django-session-csrf,0,0,0,0,3,0,0,0,0,0,1,,,,,
Data for presentation:,03/28/11 12:00 AM,moz-grid-config,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,03/28/11 12:00 AM,ace,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,03/28/11 12:00 AM,zamboni,0,5,0,0,21,0,0,0,0,0,10,,,,,
Data for presentation:,03/28/11 12:00 AM,input-tests,0,6,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,04/27/11 12:00 AM,bleach,0,2,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,04/27/11 12:00 AM,elasticutils,0,0,0,0,2,0,0,0,0,0,1,,,,,
Data for presentation:,04/27/11 12:00 AM,sumo-tests,0,4,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,04/27/11 12:00 AM,amo-validator,0,11,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,04/27/11 12:00 AM,FlightDeck,0,0,0,0,31,0,0,0,0,0,3,,,,,
Data for presentation:,04/27/11 12:00 AM,Addon-Tests,0,19,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,04/27/11 12:00 AM,webifyme,0,4,0,0,4,0,0,0,0,0,3,,,,,
Data for presentation:,04/27/11 12:00 AM,playdoh,0,13,0,0,3,0,0,0,0,0,7,,,,,
Data for presentation:,04/27/11 12:00 AM,kitsune,0,11,0,0,56,0,0,0,0,0,4,,,,,
